"","country","country_code","longitude","latitude","sex","age_group","population","cGDP","generation_level","suicide_tendency"
"237","Albania","AL",20.168331,41.153332,"male",2,286702,4672,5,"Low"
"238","Albania","AL",20.168331,41.153332,"female",5,226448,4672,6,"Low"
"239","Albania","AL",20.168331,41.153332,"male",1,262464,4672,4,"Low"
"240","Albania","AL",20.168331,41.153332,"female",1,246288,4672,4,"Low"
"241","Albania","AL",20.168331,41.153332,"female",2,270003,4387,5,"Low"
"242","Albania","AL",20.168331,41.153332,"female",3,182712,4387,3,"Low"
"243","Albania","AL",20.168331,41.153332,"female",4,394286,4387,1,"Low"
"244","Albania","AL",20.168331,41.153332,"female",1,236174,4387,4,"Low"
"245","Albania","AL",20.168331,41.153332,"female",5,233302,4387,6,"Low"
"246","Albania","AL",20.168331,41.153332,"female",6,61582,4387,6,"Low"
"247","Albania","AL",20.168331,41.153332,"male",2,283448,4387,5,"Low"
"248","Albania","AL",20.168331,41.153332,"male",3,174955,4387,3,"Low"
"249","Albania","AL",20.168331,41.153332,"male",4,374365,4387,1,"Low"
"250","Albania","AL",20.168331,41.153332,"male",1,253007,4387,4,"Low"
"251","Albania","AL",20.168331,41.153332,"male",5,234570,4387,6,"Low"
"252","Albania","AL",20.168331,41.153332,"male",6,47331,4387,6,"Low"
"253","Albania","AL",20.168331,41.153332,"male",5,241852,4359,6,"Low"
"254","Albania","AL",20.168331,41.153332,"male",4,371611,4359,3,"Low"
"255","Albania","AL",20.168331,41.153332,"male",3,179720,4359,3,"Low"
"256","Albania","AL",20.168331,41.153332,"male",6,50767,4359,6,"Low"
"257","Albania","AL",20.168331,41.153332,"male",2,279508,4359,5,"Low"
"258","Albania","AL",20.168331,41.153332,"female",3,183579,4359,3,"Low"
"259","Albania","AL",20.168331,41.153332,"female",6,64415,4359,6,"Low"
"260","Albania","AL",20.168331,41.153332,"female",4,394593,4359,3,"Low"
"261","Albania","AL",20.168331,41.153332,"female",5,241491,4359,6,"Low"
"262","Albania","AL",20.168331,41.153332,"female",2,263581,4359,5,"Low"
"263","Albania","AL",20.168331,41.153332,"female",1,223969,4359,4,"Low"
"264","Albania","AL",20.168331,41.153332,"male",1,240939,4359,4,"Low"
"265","Antigua and Barbuda","AG",-61.796428,17.060816,"female",2,7709,3850,3,"Low"
"266","Antigua and Barbuda","AG",-61.796428,17.060816,"female",3,6344,3850,1,"Low"
"267","Antigua and Barbuda","AG",-61.796428,17.060816,"female",4,6173,3850,6,"Low"
"268","Antigua and Barbuda","AG",-61.796428,17.060816,"female",1,7339,3850,3,"Low"
"269","Antigua and Barbuda","AG",-61.796428,17.060816,"female",5,3778,3850,2,"Low"
"270","Antigua and Barbuda","AG",-61.796428,17.060816,"female",6,949,3850,2,"Low"
"271","Antigua and Barbuda","AG",-61.796428,17.060816,"male",2,7667,3850,3,"Low"
"272","Antigua and Barbuda","AG",-61.796428,17.060816,"male",3,6194,3850,1,"Low"
"273","Antigua and Barbuda","AG",-61.796428,17.060816,"male",4,5970,3850,6,"Low"
"274","Antigua and Barbuda","AG",-61.796428,17.060816,"male",1,7304,3850,3,"Low"
